"nodID","file","phbEst","code","repFromGrowthCurves","plantID","treatment","rotation","phbEstfromArithmeticMean"
"1-1-E","WREplate1.072",0.69557376448592,"F1",1,"109B.6","30-year soybean","Sr",0.8066184
"1-4-G","WREplate1.119",0.267687974612152,"T1",2,"301A.6","30-year corn","Cn",0.260792906
"10-1-B","WREp10.016",1.48804323730346,"G1",3,"416A.10","30-year soybean","Sr",1.268081553
"10-3-B","WREp10.019",1.88007730572138,"R1",2,"113B.10","30-year corn","Cn",1.728604072
"10-6-G","WREp10.099",0.122494401222054,"M1",2,"213A.10","30-year soybean","Sr",0.140785404
"11-12-B","WREp11.031",2.09051446727104,"P1",3,"301A.11","30-year corn","Cn",2.288287204
"11-9-G","WREp11.095",2.02038435082095,"I1",1,"402B.11","30-year corn","Cn",2.184568422
"12-7-C","WREp12.047",1.50791397283811,"N1",2,"301A.7","30-year corn","Cn",1.578295851
"12-7-H","WREp12.117",0.339399485873656,"D1",3,"301A.7","30-year corn","Cn",0.288978319
"12-8-A","WREp12.017",0.115217817633809,"Q1",2,"416A.7","30-year soybean","Sr",0.144564347
"13-9-A","WREp1314.012",1.73142632245589,"O1",3,"113B.9","30-year corn","Cn",1.531588752
"13-9-C","WREp1314.050",0.31233184324377,"K1",1,"113B.9","30-year corn","Cn",0.277029967
"14-3-G","WREp1314.131",1.03240202919992,"E1",2,"213A.12","30-year soybean","Sr",0.970076978
"2-11-E","WREp2.078",1.28112081162098,"A1",1,"213A.9","30-year soybean","Sr",1.23368968
"3-1-D","WREp3.052",0.265811593324149,"L1",1,"402B.1","30-year corn","Cn",0.277480177
"3-11-D","WREp3.066",0.0681909012514362,"S1",2,"313A.3","30-year soybean","Sr",0.089247537
"4-12-C","WREp4.049",0.0751956457289542,"C1",2,"109B.5","30-year soybean","Sr",0.101428742
"4-12-H","WREp4.124",0.867459354005234,"H1",2,"109B.5","30-year soybean","Sr",0.937734301
"6-11-E","WREp6.075",0.0789994769256781,"J1",2,"313A.4","30-year soybean","Sr",0.077864836
"9-1-E","WREp9.065",0.340383750477015,"B1",3,"203B.4","30-year corn","Cn",0.304270382
